entry_time,exit_time,direction,entry_price,exit_price,gross_return,net_return
2022-01-01 01:00:00+00:00,2022-01-01 11:00:00+00:00,1,46650.0,46867.57,0.00466387995712747,0.0036638799571274703
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,-1,46867.57,46755.01,0.0024074425393127985,0.0014074425393127985
2022-01-01 12:00:00+00:00,2022-01-03 04:00:00+00:00,1,46755.01,46802.86,0.0010234197361951303,2.341973619513025e-05
2022-01-03 04:00:00+00:00,2022-01-03 05:00:00+00:00,-1,46802.86,46823.57,-0.00044229861157529804,-0.001442298611575298
2022-01-03 05:00:00+00:00,2022-01-03 14:00:00+00:00,1,46823.57,47157.33,0.00712803402218154,0.00612803402218154
2022-01-03 14:00:00+00:00,2022-01-03 17:00:00+00:00,-1,47157.33,46484.0,0.014485199208329691,0.01348519920832969
2022-01-03 17:00:00+00:00,2022-01-04 01:00:00+00:00,1,46484.0,46251.51,-0.0050015058945013235,-0.006001505894501324
2022-01-04 01:00:00+00:00,2022-01-04 04:00:00+00:00,-1,46251.51,46313.95,-0.0013481899082240512,-0.002348189908224051
2022-01-04 04:00:00+00:00,2022-01-04 05:00:00+00:00,1,46313.95,46107.54,-0.004456756549592433,-0.005456756549592433
2022-01-04 05:00:00+00:00,2022-01-04 06:00:00+00:00,-1,46107.54,46151.49,-0.0009522986148442492,-0.0019522986148442492
2022-01-04 06:00:00+00:00,2022-01-04 16:00:00+00:00,1,46151.49,46925.28,0.016766305919917235,0.015766305919917234
2022-01-04 16:00:00+00:00,2022-01-05 01:00:00+00:00,-1,46925.28,46260.08,0.01437956873399271,0.013379568733992708
2022-01-05 01:00:00+00:00,2022-01-05 02:00:00+00:00,1,46260.08,46112.11,-0.003198654217632213,-0.004198654217632213
2022-01-05 02:00:00+00:00,2022-01-05 03:00:00+00:00,-1,46112.11,46291.46,-0.00387436473163727,-0.00487436473163727
2022-01-05 03:00:00+00:00,2022-01-05 05:00:00+00:00,1,46291.46,46419.0,0.0027551518141790687,0.0017551518141790687
2022-01-05 05:00:00+00:00,2022-01-05 06:00:00+00:00,-1,46419.0,46302.72,0.0025112995521645587,0.0015112995521645587
2022-01-05 06:00:00+00:00,2022-01-05 07:00:00+00:00,1,46302.72,46453.99,0.0032669787001713413,0.0022669787001713413
2022-01-05 07:00:00+00:00,2022-01-05 08:00:00+00:00,-1,46453.99,46399.34,0.0011778184775903533,0.00017781847759035328
2022-01-05 08:00:00+00:00,2022-01-05 17:00:00+00:00,1,46399.34,46308.24,-0.0019633899964955903,-0.0029633899964955903
2022-01-05 17:00:00+00:00,2022-01-05 23:00:00+00:00,-1,46308.24,43415.84,0.06662084621649611,0.06562084621649611
2022-01-05 23:00:00+00:00,2022-01-06 07:00:00+00:00,1,43415.84,43094.35,-0.007404901068365777,-0.008404901068365778
2022-01-06 07:00:00+00:00,2022-01-06 08:00:00+00:00,-1,43094.35,43222.22,-0.0029584320287112664,-0.0039584320287112664
2022-01-06 08:00:00+00:00,2022-01-06 10:00:00+00:00,1,43222.22,42591.57,-0.014590874786163277,-0.015590874786163278
2022-01-06 10:00:00+00:00,2022-01-06 11:00:00+00:00,-1,42591.57,42874.39,-0.006596478690425678,-0.007596478690425678
2022-01-06 11:00:00+00:00,2022-01-06 12:00:00+00:00,1,42874.39,42865.14,-0.00021574650974620635,-0.0012157465097462064
2022-01-06 12:00:00+00:00,2022-01-06 13:00:00+00:00,-1,42865.14,43048.75,-0.00426516449374259,-0.00526516449374259
2022-01-06 13:00:00+00:00,2022-01-06 15:00:00+00:00,1,43048.75,42802.78,-0.005713754754783862,-0.006713754754783862
2022-01-06 15:00:00+00:00,2022-01-06 18:00:00+00:00,-1,42802.78,42994.0,-0.004447597339163667,-0.005447597339163667
2022-01-06 18:00:00+00:00,2022-01-07 01:00:00+00:00,1,42994.0,42787.99,-0.004791598827743493,-0.005791598827743493
2022-01-07 01:00:00+00:00,2022-01-07 02:00:00+00:00,-1,42787.99,42989.13,-0.004678857190178021,-0.005678857190178021
2022-01-07 02:00:00+00:00,2022-01-07 03:00:00+00:00,1,42989.13,42795.77,-0.004497881208575305,-0.005497881208575305
2022-01-07 03:00:00+00:00,2022-01-07 04:00:00+00:00,-1,42795.77,41789.97,0.02406797611962852,0.02306797611962852
