date,BTC,ETH,SOL,btc_ma200,btc_ma200_gap,ethbtc,solbtc,ethbtc_ma180,ethbtc_gap,ethbtc_ret90,solbtc_ma180,solbtc_gap,solbtc_ret90,btc_ma200_gap_ma7,ethbtc_gap_ma7,solbtc_gap_ma7,ethbtc_ret90_ma7,solbtc_ret90_ma7
2021-01-01,29337.16,729.77,1.8382,,,0.024875277634235898,6.265773510455682e-05,,,,,,,,,,,
2021-01-02,32199.91,775.02,1.7976,,,0.024069011373013153,5.582624299260464e-05,,,,,,,,,,,
2021-01-03,33054.53,980.24,2.1767,,,0.029655239387763193,6.585179096480875e-05,,,,,,,,,,,
2021-01-04,32031.07,1043.11,2.4832,,,0.03256556836846224,7.752472833408313e-05,,,,,,,,,,,
2021-01-05,33999.52,1101.29,2.1355,,,0.032391339642442014,6.280971025473301e-05,,,,,,,,,,,
2021-01-06,36823.68,1212.64,1.8753,,,0.03293098354102578,5.092646905469524e-05,,,,,,,,,,,
2021-01-07,39498.92,1227.12,2.3651,,,0.031067178545641245,5.987758652641642e-05,,,,,,,,,,,
2021-01-08,40637.23,1218.39,3.222,,,0.029982112461897626,7.92869002144093e-05,,,,,,,,,,,
2021-01-09,40136.04,1279.96,3.3776,,,0.031890540272533116,8.415379295017645e-05,,,,,,,,,,,
2021-01-10,38221.67,1257.96,3.446,,,0.032912219691081004,9.015827932165184e-05,,,,,,,,,,,
2021-01-11,35408.46,1086.94,3.0988,,,0.03069718366740604,8.751580836896042e-05,,,,,,,,,,,
2021-01-12,34056.9,1050.82,3.6276,,,0.030854834115847298,0.00010651586022215762,,,,,,,,,,,
2021-01-13,37421.07,1130.4,3.5291,,,0.03020758091631266,9.430783245909324e-05,,,,,,,,,,,
2021-01-14,39163.31,1234.86,3.2949,,,0.031531042702978886,8.413231670152498e-05,,,,,,,,,,,
2021-01-15,36755.24,1168.79,3.2464,,,0.03179927542304172,8.832482116835586e-05,,,,,,,,,,,
2021-01-16,36025.66,1230.19,3.4259,,,0.03414760479058537,9.509610649742432e-05,,,,,,,,,,,
2021-01-17,35869.83,1233.71,3.8328,,,0.03439408550305368,0.00010685302941218288,,,,,,,,,,,
2021-01-18,36686.86,1262.99,3.7933,,,0.03442622235863194,0.00010339669298489977,,,,,,,,,,,
2021-01-19,35891.03,1367.51,3.6276,,,0.03810172068062689,0.00010107260783543967,,,,,,,,,,,
2021-01-20,35500.0,1379.24,3.7133,,,0.03885183098591549,0.0001046,,,,,,,,,,,
2021-01-21,30879.97,1111.23,2.9793,,,0.035985462421109865,9.648001601037824e-05,,,,,,,,,,,
2021-01-22,32986.34,1234.55,3.3286,,,0.03742609819701125,0.00010090843664377436,,,,,,,,,,,
2021-01-23,32086.48,1235.66,3.5094,,,0.0385103009117859,0.00010937316901074846,,,,,,,,,,,
2021-01-24,32275.63,1394.24,3.6369,,,0.04319791743801747,0.00011268254097596235,,,,,,,,,,,
2021-01-25,32253.68,1318.61,3.7044,,,0.04088246674487996,0.00011485201068529235,,,,,,,,,,,
2021-01-26,32474.14,1368.4,4.0447,,,0.04213814438196054,0.00012455141229298142,,,,,,,,,,,
2021-01-27,30381.04,1238.55,3.6727,,,0.04076720217609404,0.00012088789587189904,,,,,,,,,,,
2021-01-28,33399.75,1329.86,3.8139,,,0.03981646569210847,0.00011418947746614869,,,,,,,,,,,
2021-01-29,34269.35,1381.99,3.8409,,,0.040327289545906184,0.00011207974472816088,,,,,,,,,,,
2021-01-30,34289.85,1380.48,4.2462,,,0.04025914374078627,0.00012383256269712467,,,,,,,,,,,
2021-01-31,33126.21,1313.12,4.2628,,,0.03963991051194809,0.00012868360129335654,,,,,,,,,,,
2021-02-01,33546.09,1376.48,4.6234,,,0.041032501850439204,0.00013782232146876137,,,,,,,,,,,
2021-02-02,35504.06,1516.26,5.2529,,,0.042706665096893144,0.0001479520933662235,,,,,,,,,,,
2021-02-03,37652.51,1666.0,5.7373,,,0.04424671821347368,0.00015237496783082987,,,,,,,,,,,
2021-02-04,36976.93,1596.0,6.4358,,,0.043162047254869454,0.00017404906248301305,,,,,,,,,,,
2021-02-05,38362.65,1721.16,6.7101,,,0.04486551372233149,0.00017491231705838882,,,,,,,,,,,
2021-02-06,39249.54,1679.34,6.1325,,,0.04278623392783711,0.000156243869354902,,,,,,,,,,,
2021-02-07,38849.25,1611.99,6.7037,,,0.04149346512480936,0.00017255674176464155,,,,,,,,,,,
2021-02-08,46451.32,1755.61,7.8917,,,0.037794620260522195,0.00016989183515129388,,,,,,,,,,,
2021-02-09,46492.54,1770.79,7.8335,,,0.03808761577663857,0.00016848939636337357,,,,,,,,,,,
2021-02-10,44850.0,1743.31,9.1102,,,0.03886978818283166,0.00020312597547380158,,,,,,,,,,,
2021-02-11,48060.21,1789.32,9.2215,,,0.03723079861698482,0.0001918739015081291,,,,,,,,,,,
2021-02-12,47361.03,1843.08,9.2344,,,0.03891553878790221,0.000194978867647093,,,,,,,,,,,
2021-02-13,47221.62,1818.02,8.7627,,,0.03849973804371811,0.00018556542532848302,,,,,,,,,,,
2021-02-14,48655.21,1803.59,8.7306,,,0.03706879489370203,0.00017943813211370376,,,,,,,,,,,
2021-02-15,47981.58,1781.34,8.8695,,,0.037125496909439,0.00018485218702677154,,,,,,,,,,,
2021-02-16,49197.94,1784.31,8.3036,,,0.03626798195208986,0.00016877942450435932,,,,,,,,,,,
2021-02-17,52194.62,1849.86,8.2533,,,0.035441583826072494,0.00015812549262740104,,,,,,,,,,,
2021-02-18,51619.7,1941.26,8.9956,,,0.03760696013343743,0.00017426680124061163,,,,,,,,,,,
2021-02-19,56004.1,1958.58,11.5096,,,0.03497208240110992,0.00020551352490264107,,,,,,,,,,,
2021-02-20,55917.41,1914.58,9.9965,,,0.034239425610020205,0.00017877258621241574,,,,,,,,,,,
2021-02-21,57487.43,1934.75,11.0851,,,0.03365518340270212,0.00019282650137603994,,,,,,,,,,,
2021-02-22,54121.1,1778.3,14.3413,,,0.03285779483417743,0.00026498537538963547,,,,,,,,,,,
2021-02-23,48930.0,1579.75,15.2413,,,0.032285918659309215,0.0003114919272430002,,,,,,,,,,,
2021-02-24,49702.03,1623.98,17.2227,,,0.03267431933866685,0.00034651904560035075,,,,,,,,,,,
2021-02-25,47089.37,1482.09,13.8484,,,0.03147398234463532,0.0002940876040601095,,,,,,,,,,,
2021-02-26,46313.13,1445.28,13.5941,,,0.031206700993865025,0.000293525831659402,,,,,,,,,,,
2021-02-27,46102.63,1458.65,13.19,,,0.03163919281828391,0.0002861008146389913,,,,,,,,,,,
2021-02-28,45163.36,1419.77,13.1072,,,0.031436323603912554,0.00029021755688682154,,,,,,,,,,,
2021-03-01,49592.7,1571.2,15.0036,,,0.03168208224194287,0.0003025364620196118,,,,,,,,,,,
2021-03-02,48450.57,1486.28,13.9565,,,0.030676212890787456,0.0002880564666215485,,,,,,,,,,,
2021-03-03,50373.75,1568.63,14.0941,,,0.03113982977245093,0.00027979056552271766,,,,,,,,,,,
2021-03-04,48385.77,1540.69,13.0784,,,0.031841799768816334,0.0002702943448042679,,,,,,,,,,,
2021-03-05,48770.57,1529.88,12.5659,,,0.03136891777151672,0.00025765333478776234,,,,,,,,,,,
2021-03-06,48908.21,1651.73,13.0512,,,0.033772039500116646,0.0002668509029465605,,,,,,,,,,,
2021-03-07,50995.27,1727.23,13.845,,,0.03387039621517839,0.00027149576813692724,,,,,,,,,,,
2021-03-08,52429.43,1834.3,13.6344,,,0.03498607556862625,0.00026005241712526725,,,,,,,,,,,
2021-03-09,54917.78,1873.31,14.9102,,,0.03411117492367681,0.0002715004138914574,,,,,,,,,,,
2021-03-10,55947.98,1796.8,14.2333,,,0.03211554733522104,0.00025440239308014334,,,,,,,,,,,
2021-03-11,57844.52,1829.0,16.0763,,,0.03161924413928926,0.000277922610473732,,,,,,,,,,,
2021-03-12,57291.03,1767.44,14.5742,,,0.03085020464809238,0.00025438886331769563,,,,,,,,,,,
2021-03-13,61267.41,1924.94,15.3216,,,0.03141866124257578,0.00025007748817846225,,,,,,,,,,,
2021-03-14,59037.12,1850.54,14.4642,,,0.03134536373048007,0.00024500178870514005,,,,,,,,,,,
2021-03-15,55646.61,1794.89,14.184,,,0.032255154446964515,0.0002548942334492613,,,,,,,,,,,
2021-03-16,56954.19,1807.25,13.6639,,,0.031731642570985555,0.00023991035602472793,,,,,,,,,,,
2021-03-17,58959.0,1825.77,14.2288,,,0.030966773520582098,0.00024133380823962414,,,,,,,,,,,
2021-03-18,57700.01,1777.54,14.2183,,,0.030806580449466124,0.0002464176349362851,,,,,,,,,,,
2021-03-19,58089.11,1811.04,14.1535,,,0.031176927999069015,0.00024365152091330026,,,,,,,,,,,
2021-03-20,58145.61,1807.35,14.1892,,,0.031083172057185398,0.00024402874094880077,,,,,,,,,,,
2021-03-21,57415.18,1784.67,14.3395,,,0.031083591482252603,0.00024975102403232034,,,,,,,,,,,
2021-03-22,54129.56,1681.69,14.7957,,,0.031067867538550103,0.0002733386341954378,,,,,,,,,,,
2021-03-23,54400.0,1669.33,14.142,,,0.030686213235294118,0.0002599632352941176,,,,,,,,,,,
2021-03-24,52311.54,1582.11,13.5875,,,0.03024399587547986,0.0002597419231014801,,,,,,,,,,,
2021-03-25,51325.21,1587.5,12.9776,,,0.03093021928210328,0.0002528504023656211,,,,,,,,,,,
2021-03-26,55030.0,1699.13,14.7725,,,0.030876431037615847,0.0002684444848264583,,,,,,,,,,,
2021-03-27,55828.0,1714.34,16.4803,,,0.030707530271548326,0.00029519775023285807,,,,,,,,,,,
2021-03-28,55805.08,1688.3,18.1022,,,0.030253518138492048,0.000324382654769064,,,,,,,,,,,
2021-03-29,57677.64,1818.44,18.9811,,,0.031527642254433434,0.00032908940102264935,,,,,,,,,,,
2021-03-30,58794.16,1843.43,19.0933,,,0.0313539644073493,0.0003247482403014177,,,,,,,,,,,
2021-03-31,58807.24,1923.07,19.4044,,,0.032701245628939564,0.0003299661742329686,0.03440215844833177,-0.049442037828724805,,0.00018962758664247642,0.7400747437401414,,,,,,
2021-04-01,58794.01,1969.74,19.0497,,,0.0335023925056311,0.00032400749668205997,0.0343922709104999,-0.025874371808263574,0.34681481743631615,0.0001911042889506037,0.6954485870581841,4.1710694001529,,,,,
2021-04-02,59031.36,2138.01,19.8353,,,0.03621820672944008,0.00033601292601085253,0.03441211803896664,0.05248408971596308,0.504765034514419,0.00019267938283169336,0.7438966280287596,5.018906306400818,,-0.007610773307008434,0.7264733196090284,,
