date,BTC,SOL,solbtc,solbtc_ma180,solbtc_gap,solbtc_gap_lag1,btc_ma200,btc_ma200_gap
2021-01-01,29337.16,1.8382,6.265773510455682e-05,,,,,
2021-01-02,32199.91,1.7976,5.582624299260464e-05,,,,,
2021-01-03,33054.53,2.1767,6.585179096480875e-05,,,,,
2021-01-04,32031.07,2.4832,7.752472833408313e-05,,,,,
2021-01-05,33999.52,2.1355,6.280971025473301e-05,,,,,
2021-01-06,36823.68,1.8753,5.092646905469524e-05,,,,,
2021-01-07,39498.92,2.3651,5.987758652641642e-05,,,,,
2021-01-08,40637.23,3.222,7.92869002144093e-05,,,,,
2021-01-09,40136.04,3.3776,8.415379295017645e-05,,,,,
2021-01-10,38221.67,3.446,9.015827932165184e-05,,,,,
2021-01-11,35408.46,3.0988,8.751580836896042e-05,,,,,
2021-01-12,34056.9,3.6276,0.00010651586022215762,,,,,
2021-01-13,37421.07,3.5291,9.430783245909324e-05,,,,,
2021-01-14,39163.31,3.2949,8.413231670152498e-05,,,,,
2021-01-15,36755.24,3.2464,8.832482116835586e-05,,,,,
2021-01-16,36025.66,3.4259,9.509610649742432e-05,,,,,
2021-01-17,35869.83,3.8328,0.00010685302941218288,,,,,
2021-01-18,36686.86,3.7933,0.00010339669298489977,,,,,
2021-01-19,35891.03,3.6276,0.00010107260783543967,,,,,
2021-01-20,35500.0,3.7133,0.0001046,,,,,
2021-01-21,30879.97,2.9793,9.648001601037824e-05,,,,,
2021-01-22,32986.34,3.3286,0.00010090843664377436,,,,,
2021-01-23,32086.48,3.5094,0.00010937316901074846,,,,,
2021-01-24,32275.63,3.6369,0.00011268254097596235,,,,,
2021-01-25,32253.68,3.7044,0.00011485201068529235,,,,,
2021-01-26,32474.14,4.0447,0.00012455141229298142,,,,,
2021-01-27,30381.04,3.6727,0.00012088789587189904,,,,,
2021-01-28,33399.75,3.8139,0.00011418947746614869,,,,,
2021-01-29,34269.35,3.8409,0.00011207974472816088,,,,,
2021-01-30,34289.85,4.2462,0.00012383256269712467,,,,,
2021-01-31,33126.21,4.2628,0.00012868360129335654,,,,,
2021-02-01,33546.09,4.6234,0.00013782232146876137,,,,,
2021-02-02,35504.06,5.2529,0.0001479520933662235,,,,,
2021-02-03,37652.51,5.7373,0.00015237496783082987,,,,,
2021-02-04,36976.93,6.4358,0.00017404906248301305,,,,,
2021-02-05,38362.65,6.7101,0.00017491231705838882,,,,,
2021-02-06,39249.54,6.1325,0.000156243869354902,,,,,
2021-02-07,38849.25,6.7037,0.00017255674176464155,,,,,
2021-02-08,46451.32,7.8917,0.00016989183515129388,,,,,
