period,variant,mode,positions,active_days,adjusted_positions,adjusted_rank1,adjusted_rank2,total_bps,mean_active_day_bps,win_rate_active_day,maxdd_bps,worst_day_bps,best_day_bps,delta_total_vs_baseline,dd_improvement_vs_baseline
full_2022_2026,top2_baseline,baseline,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,rank1_only,rank1_only,2162,1081,1081,0,0,69232.64889616285,64.04500360422094,0.5615171137835338,-16130.116872611965,-7158.081812284034,3179.968096588269,-38408.93307751008,6323.324031396231
full_2022_2026,rank2_half_all,rank2_half_all,2162,1081,1081,0,0,88437.1154349179,81.81046756236621,0.5605920444033302,-17320.1729517275,-8670.648008634398,4338.30306602512,-19204.466538755034,5133.267952280694
full_2022_2026,skip_gap_gt_2pct,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_2pct,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_3pct,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_3pct,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_5pct,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_5pct,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_7.5pct,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_7.5pct,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_10pct,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_10pct,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_15pct,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_15pct,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_3_idio_gt10,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_3_idio_gt10,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_5_idio_gt10,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_5_idio_gt10,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_7.5_idio_gt10,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_7.5_idio_gt10,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_gap_gt_10_idio_gt10,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap_gt_10_idio_gt10,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,skip_no_pullback_close_loc_ge90,skip,2162,1081,300,159,141,101823.22680977636,94.19354931524177,0.5263644773358002,-23298.159946827407,-10183.214204984763,5496.6380354619705,-5818.355163896573,-844.7190428192116
full_2022_2026,half_no_pullback_close_loc_ge90,half,2162,1081,300,159,141,104732.40439172463,96.88474041787661,0.5485661424606846,-20348.696848151332,-10183.214204984763,5496.6380354619705,-2909.177581948301,2104.7440558568633
full_2022_2026,skip_no_pullback_close_loc_ge95,skip,2162,1081,128,63,65,112242.00891814727,103.83164562270791,0.543940795559667,-19694.335605835877,-10183.214204984763,5496.6380354619705,4600.42694447434,2759.1052981723187
full_2022_2026,half_no_pullback_close_loc_ge95,half,2162,1081,128,63,65,109941.7954459101,101.70378857160972,0.5513413506012951,-19598.13418374656,-10183.214204984763,5496.6380354619705,2300.21347223717,2855.3067202616367
full_2022_2026,skip_no_pullback_idio10_close90,skip,2162,1081,63,46,17,105626.99947632584,97.71230293832176,0.5430157261794635,-19741.175808478765,-10183.214204984763,5496.6380354619705,-2014.582497347088,2712.2650955294303
full_2022_2026,half_no_pullback_idio10_close90,half,2162,1081,63,46,17,106634.29072499937,98.64411722941662,0.5504162812210915,-20884.311661619846,-10183.214204984763,5496.6380354619705,-1007.2912486735586,1569.1292423883497
full_2022_2026,skip_pullback_lt20_idio10,skip,2162,1081,150,98,52,93106.1118439663,86.12961317665707,0.5319148936170213,-18743.66107467102,-10183.214204984763,5496.6380354619705,-14535.470129706635,3709.7798293371743
full_2022_2026,half_pullback_lt20_idio10,half,2162,1081,150,98,52,100373.84690881963,92.85277234858427,0.5494912118408881,-20501.914435048948,-10183.214204984763,5496.6380354619705,-7267.735064853303,1951.5264689592477
full_2022_2026,skip_pullback_lt10_idio10,skip,2162,1081,63,46,17,105626.99947632584,97.71230293832176,0.5430157261794635,-19741.175808478765,-10183.214204984763,5496.6380354619705,-2014.582497347088,2712.2650955294303
full_2022_2026,half_pullback_lt10_idio10,half,2162,1081,63,46,17,106634.29072499937,98.64411722941662,0.5504162812210915,-20884.311661619846,-10183.214204984763,5496.6380354619705,-1007.2912486735586,1569.1292423883497
full_2022_2026,skip_cooldown_7d_loss1000,skip,2162,1081,45,33,12,91981.09531984437,85.0888948379689,0.5448658649398704,-25337.09754809492,-10183.214204984763,5496.6380354619705,-15660.486653828557,-2883.6566440867246
full_2022_2026,half_cooldown_7d_loss1000,half,2162,1081,45,33,12,99811.33864675865,92.33241317924018,0.5494912118408881,-23895.269226051536,-10183.214204984763,5496.6380354619705,-7830.243326914278,-1441.8283220433404
full_2022_2026,skip_cooldown_14d_loss1000,skip,2162,1081,72,52,20,97906.24596551403,90.57007027337096,0.5411655874190564,-22927.152795460475,-7360.891577610625,5496.6380354619705,-9735.336008158905,-473.7118914522798
full_2022_2026,half_cooldown_14d_loss1000,half,2162,1081,72,52,20,102773.91396959347,95.07300089694124,0.5485661424606846,-22512.722912993704,-8670.648008634398,5496.6380354619705,-4867.66800407946,-59.28200898550858
full_2022_2026,skip_cooldown_30d_loss1000,skip,2162,1081,104,72,32,96564.59471422929,89.32894978189574,0.5411655874190564,-22468.213564586556,-7360.891577610625,5496.6380354619705,-11076.987259443646,-14.772660578360956
