mode,idio_th,close_loc_th,volz_th,risk_n,risk_rate,total_bps,maxdd_bps,worst_day_bps,mean_active_day_bps,win_rate_active_day,score_total_dd
skip,5.0,0.7,1.0,864,0.3996299722479186,28655.297552702574,-10266.905687977975,-5448.944219072687,26.508138346625874,0.395004625346901,26088.57113070808
half,5.0,0.7,1.0,864,0.3996299722479186,68148.43976318774,-13944.81044298835,-6604.173298842746,63.04203493356867,0.5467160037002775,64662.23715244065
skip,5.0,0.7,1.5,768,0.35522664199814985,38276.41370930022,-14195.911225198704,-6543.174522744356,35.40833830647569,0.4181313598519889,34727.43590300054
half,5.0,0.7,1.5,768,0.35522664199814985,72958.99784148656,-16823.389084235267,-6604.173298842746,67.49213491349359,0.5467160037002775,68753.15057042775
skip,5.0,0.7,2.0,721,0.33348751156336726,46826.6600234753,-16665.108007792973,-6543.174522744356,43.31790936491702,0.44033302497687327,42660.38302152706
half,5.0,0.7,2.0,721,0.33348751156336726,77234.1209985741,-16540.612671526455,-6930.833698596435,71.44692044271424,0.5485661424606846,73098.96783069249
skip,5.0,0.7,2.5,673,0.3112858464384829,47471.88304096764,-15245.95419836502,-6543.174522744356,43.9147854218017,0.4486586493987049,43660.394491376384
half,5.0,0.7,2.5,673,0.3112858464384829,77556.73250732028,-16659.385835490884,-6930.833698596435,71.74535847115658,0.5494912118408881,73391.88604844756
skip,5.0,0.7,3.0,639,0.2955596669750231,56069.044273127314,-14451.694447648588,-6543.174522744356,51.867756034345334,0.45790934320074006,52456.120661215165
half,5.0,0.7,3.0,639,0.2955596669750231,81855.3131234001,-16262.255960132665,-6930.833698596435,75.7218437774284,0.5504162812210915,77789.74913336695
skip,5.0,0.8,1.0,768,0.35522664199814985,43749.04579759501,-11007.839242232858,-5448.944219072687,40.47090268047642,0.42183163737280294,40997.0859870368
half,5.0,0.8,1.0,768,0.35522664199814985,75695.31388563395,-12273.34506973804,-6604.173298842746,70.02341710049396,0.547641073080481,72626.97761819944
skip,5.0,0.8,1.5,655,0.30296022201665124,56924.32300067705,-10351.41031603773,-6543.174522744356,52.65894819674101,0.4477335800185014,54336.47042166761
half,5.0,0.8,1.5,655,0.30296022201665124,82282.95248717497,-15621.625577273047,-6604.173298842746,76.11743985862626,0.5467160037002775,78377.54609285672
skip,5.0,0.8,2.0,593,0.2742830712303423,61306.31569083356,-10522.753940380113,-6543.174522744356,56.71259545868044,0.4690101757631822,58675.62720573853
half,5.0,0.8,2.0,593,0.2742830712303423,84473.94883225323,-15540.95441726036,-6930.833698596435,78.14426348959596,0.547641073080481,80588.71022793814
skip,5.0,0.8,2.5,535,0.24745605920444033,56326.34388628758,-14438.946103993248,-10183.214204984763,52.10577602801811,0.47641073080481033,52716.607360289265
half,5.0,0.8,2.5,535,0.24745605920444033,81983.96292998025,-16471.095994058946,-10183.214204984763,75.8408537742648,0.5494912118408881,77866.18893146551
skip,5.0,0.8,3.0,498,0.2303422756706753,65432.379035127036,-12948.942533774865,-10183.214204984763,60.52949031926644,0.4856614246068455,62195.14340168332
half,5.0,0.8,3.0,498,0.2303422756706753,86536.98050439998,-16589.154973547007,-10183.214204984763,80.05271091988898,0.5504162812210915,82389.69176101322
skip,5.0,0.9,1.0,615,0.28445883441258096,51563.853851990956,-14239.607457812332,-5448.944219072687,47.70014232376591,0.4616096207215541,48003.951987537876
half,5.0,0.9,1.0,615,0.28445883441258096,79602.71791283194,-15003.950021558478,-6604.173298842746,73.6380369221387,0.547641073080481,75851.73040744232
skip,5.0,0.9,1.5,490,0.22664199814986125,64889.562691268926,-15060.31598325186,-6543.174522744356,60.02734754048929,0.4921369102682701,61124.48369545596
half,5.0,0.9,1.5,490,0.22664199814986125,86265.57233247091,-18655.79618614211,-6604.173298842746,79.80163953050038,0.5448658649398704,81601.62328593538
skip,5.0,0.9,2.0,413,0.1910268270120259,69851.6707023002,-15974.298111423574,-7360.891577610625,64.61764172275687,0.5115633672525439,65858.0961744443
half,5.0,0.9,2.0,413,0.1910268270120259,88746.62633798656,-17967.659021654792,-7360.891577610625,82.09678662163418,0.547641073080481,84254.71158257285
skip,5.0,0.9,2.5,344,0.15911193339500462,71448.72487413164,-14865.347218638915,-10183.214204984763,66.09502763564444,0.5198889916743756,67732.38806947191
half,5.0,0.9,2.5,344,0.15911193339500462,89545.15342390229,-18447.596299457407,-10183.214204984763,82.83547957807797,0.5485661424606846,84933.25434903793
skip,5.0,0.9,3.0,291,0.13459759481961148,85572.4082434655,-15780.084289956125,-10183.214204984763,79.16041465630481,0.5309898242368177,81627.38717097646
half,5.0,0.9,3.0,291,0.13459759481961148,96606.9951085692,-18475.054048069367,-10183.214204984763,89.36817308840814,0.5494912118408881,91988.23159655186
skip,7.5,0.7,1.0,630,0.2913968547641073,49570.067716033154,-15527.983205525894,-6543.174522744356,45.855751818717074,0.4551341350601295,45688.07191465168
half,7.5,0.7,1.0,630,0.2913968547641073,78605.82484485302,-17509.56843161099,-6604.173298842746,72.71584166961426,0.5448658649398704,74228.43273695027
