period,variant,positions,active_days,adjusted_positions,total_bps,mean_active_day_bps,median_active_day_bps,win_rate_active_day,maxdd_bps,worst_day_bps,mean_position_bps,worst_position_bps
full_2022_2026,top2_baseline,2162,1081,0,107641.58197367293,99.57593152051149,122.60721873757595,0.5494912118408881,-22453.440904008196,-10183.214204984763,49.78796576025574,-7158.081812284034
full_2022_2026,rank1_only,2162,1081,1081,69232.64889616285,64.04500360422094,85.20618556700998,0.5615171137835338,-16130.116872611965,-7158.081812284034,32.02250180211047,-7158.081812284034
full_2022_2026,rank2_half_all,2162,1081,1081,88437.1154349179,81.81046756236621,101.41477085857582,0.5605920444033302,-17320.1729517275,-8670.648008634398,40.9052337811831,-7158.081812284034
full_2022_2026,skip_pump_score_ge2_all,2162,1081,292,74165.19618922361,68.6079520714372,20.40822166521508,0.5124884366327475,-19342.14559245641,-7360.891577610625,34.30397603571859,-6500.775819582245
full_2022_2026,half_pump_score_ge2_all,2162,1081,292,90903.38908144826,84.09194179597434,113.40632647570493,0.545790934320074,-20554.099776981402,-7360.891577610625,42.04597089798717,-6500.775819582245
full_2022_2026,skip_pump_score_ge3_all,2162,1081,63,95747.03966798488,88.57265464198413,113.90570875524374,0.545790934320074,-22784.72505051083,-10183.214204984763,44.286327320992065,-7158.081812284034
full_2022_2026,skip_pump_score_ge2_rank2only,2162,1081,95,78968.1073567068,73.0509781283134,114.21027817067554,0.545790934320074,-22913.630421841037,-10183.214204984763,36.525489064156694,-7158.081812284034
full_2022_2026,half_pump_score_ge2_rank2only,2162,1081,95,93304.84466518986,86.31345482441243,117.71884610401759,0.5513413506012951,-22683.5356629246,-10183.214204984763,43.15672741220622,-7158.081812284034
pre2026,top2_baseline,1878,939,0,58317.64817533192,62.106121592472746,79.61575130559254,0.5271565495207667,-22453.440904008196,-10183.214204984763,31.05306079623638,-7158.081812284034
pre2026,rank1_only,1878,939,939,48190.06167428067,51.32061946142776,64.75674910591451,0.5516506922257721,-16130.116872611965,-7158.081812284034,25.66030973071388,-7158.081812284034
pre2026,rank2_half_all,1878,939,939,53253.85492480631,56.71337052695026,71.16624943274479,0.5431309904153354,-17320.1729517275,-8670.648008634398,28.356685263475132,-7158.081812284034
pre2026,skip_pump_score_ge2_all,1878,939,257,38340.85525037088,40.831581736284214,0.0,0.4941427050053248,-19342.14559245641,-7360.891577610625,20.41579086814211,-6500.775819582245
pre2026,half_pump_score_ge2_all,1878,939,257,48329.2517128514,51.46885166437849,68.80149340503641,0.5250266240681576,-20554.099776981402,-7360.891577610625,25.73442583218925,-6500.775819582245
pre2026,skip_pump_score_ge3_all,1878,939,58,49110.36458959282,52.300707763144636,63.98454305017401,0.5228966986155484,-22784.72505051083,-10183.214204984763,26.150353881572318,-7158.081812284034
pre2026,skip_pump_score_ge2_rank2only,1878,939,83,36861.8925031167,39.2565415368655,67.13637028073214,0.5260915867944622,-22913.630421841037,-10183.214204984763,19.628270768432753,-7158.081812284034
pre2026,half_pump_score_ge2_rank2only,1878,939,83,47589.77033922431,50.681331564669115,85.93481674161387,0.5303514376996805,-22683.5356629246,-10183.214204984763,25.340665782334572,-7158.081812284034
hist_2026,top2_baseline,284,142,0,49323.93379834099,347.3516464671901,370.36629435563424,0.6971830985915493,-6008.99320869903,-3791.6259251668243,173.67582323359505,-4250.72808854792
hist_2026,rank1_only,284,142,142,21042.587221882175,148.1872339569167,168.40895991499863,0.6267605633802817,-10205.016360087404,-4250.72808854792,74.09361697845837,-4250.72808854792
hist_2026,rank2_half_all,284,142,142,35183.260510111584,247.7694402120534,237.60300898738296,0.676056338028169,-6240.7386088037365,-4021.1770068573724,123.88472010602673,-4250.72808854792
hist_2026,skip_pump_score_ge2_all,284,142,35,35824.34093885273,252.28409111868118,198.47270624656005,0.6338028169014085,-4983.40584505832,-2126.053318993664,126.14204555934059,-1947.283101682516
hist_2026,half_pump_score_ge2_all,284,142,35,42574.137368596865,299.81786879293566,307.8587373954572,0.6830985915492958,-4651.743949659278,-2126.053318993664,149.9089343964678,-2125.36404427396
hist_2026,skip_pump_score_ge3_all,284,142,5,46636.675078392036,328.427289284451,349.6907769737823,0.6971830985915493,-6008.99320869903,-3791.6259251668243,164.21364464222552,-4250.72808854792
hist_2026,skip_pump_score_ge2_rank2only,284,142,12,42106.214853590085,296.52263981401467,313.51868303523383,0.676056338028169,-6468.095372080126,-4250.72808854792,148.26131990700733,-4250.72808854792
hist_2026,half_pump_score_ge2_rank2only,284,142,12,45715.074325965536,321.93714314060236,348.00105743898825,0.6901408450704225,-6238.544290389578,-4021.1770068573724,160.96857157030118,-4250.72808854792
