signal_date,value,cum,dd,variant
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,top2_baseline_oi_dates
2026-03-03,-709.6544937907433,-879.1589080464308,-709.6544937907433,top2_baseline_oi_dates
2026-03-04,-1521.1795928071203,-2400.338500853551,-2230.8340865978635,top2_baseline_oi_dates
2026-03-05,1310.1642968860508,-1090.1742039675003,-920.6697897118128,top2_baseline_oi_dates
2026-03-06,-319.02709512791694,-1409.2012990954172,-1239.6968848397296,top2_baseline_oi_dates
2026-03-07,-494.46702188872723,-1903.6683209841444,-1734.1639067284568,top2_baseline_oi_dates
2026-03-08,-379.14288272840895,-2282.8112037125534,-2113.3067894568658,top2_baseline_oi_dates
2026-03-09,-613.1942274044799,-2896.0054311170334,-2726.5010168613458,top2_baseline_oi_dates
2026-03-10,103.76631623891075,-2792.2391148781226,-2622.734700622435,top2_baseline_oi_dates
2026-03-11,-1660.4163258064523,-4452.655440684575,-4283.151026428888,top2_baseline_oi_dates
2026-03-12,1155.4992274974097,-3297.1562131871656,-3127.651798931478,top2_baseline_oi_dates
2026-03-13,706.4997570200021,-2590.6564561671635,-2421.152041911476,top2_baseline_oi_dates
2026-03-14,237.0746492942663,-2353.5818068728972,-2184.0773926172096,top2_baseline_oi_dates
2026-03-15,-341.2071767013481,-2694.7889835742453,-2525.2845693185577,top2_baseline_oi_dates
2026-03-16,141.5935318360261,-2553.195451738219,-2383.6910374825316,top2_baseline_oi_dates
2026-03-17,1207.1466868434275,-1346.0487648947917,-1176.5443506391043,top2_baseline_oi_dates
2026-03-18,246.7692060916277,-1099.279558803164,-929.7751445474765,top2_baseline_oi_dates
2026-03-19,-338.6734363065609,-1437.952995109725,-1268.4485808540376,top2_baseline_oi_dates
2026-03-20,777.2405029602253,-660.7124921494997,-491.2080778938122,top2_baseline_oi_dates
2026-03-21,346.2753922222877,-314.437099927212,-144.9326856715245,top2_baseline_oi_dates
2026-03-22,-876.2010472457803,-1190.6381471729924,-1021.1337329173049,top2_baseline_oi_dates
2026-03-23,993.0817220343879,-197.55642513860448,-28.05201088291699,top2_baseline_oi_dates
2026-03-24,460.52680095339883,262.97037581479435,0.0,top2_baseline_oi_dates
2026-03-25,891.9827581287318,1154.9531339435262,0.0,top2_baseline_oi_dates
2026-03-26,1167.5317513319833,2322.4848852755094,0.0,top2_baseline_oi_dates
2026-03-27,567.9987802046248,2890.4836654801343,0.0,top2_baseline_oi_dates
2026-03-28,709.4752992744994,3599.9589647546336,0.0,top2_baseline_oi_dates
2026-03-29,-825.8394464805468,2774.1195182740867,-825.8394464805469,top2_baseline_oi_dates
2026-03-30,589.5529313385857,3363.6724496126726,-236.286515141961,top2_baseline_oi_dates
2026-03-31,114.21027817067554,3477.882727783348,-122.07623697128565,top2_baseline_oi_dates
2026-04-01,-3791.6259251668243,-313.7431973834764,-3913.70216213811,top2_baseline_oi_dates
2026-03-02,-224.653179190753,-224.653179190753,0.0,rank1_only_oi_dates
2026-03-03,-420.1112195467407,-644.7643987374937,-420.1112195467407,rank1_only_oi_dates
2026-03-04,-1546.064723110151,-2190.8291218476447,-1966.1759426568917,rank1_only_oi_dates
2026-03-05,492.9575324723248,-1697.87158937532,-1473.218410184567,rank1_only_oi_dates
