fr_bucket,oi_bucket,demean_q75,n,total_bps,mean_bps,median_bps,win_rate,worst_bps,oi_mean_bps,fr_mean_bps,demean_mean
FR missing,OI surge>=5%,demean high q75,1,254.6865671641787,254.6865671641787,254.6865671641787,1.0,254.6865671641787,784.2200065691119,,0.0084140540970248
FR missing,OI surge>=5%,demean lower,1,-289.5432742440027,-289.5432742440027,-289.5432742440027,0.0,-289.5432742440027,923.589037017274,,0.0051041720662159
FR missing,OI up 0-5%,demean high q75,1,741.611754867997,741.611754867997,741.611754867997,1.0,741.611754867997,430.263314631083,,0.0078268758882549
FR<0,OI down,demean high q75,3,-832.5789147630422,-277.52630492101406,-326.6771969696972,0.3333333333333333,-561.0504827284105,-243.6625131101322,-6.037433333333333,0.0061252912570193
FR<0,OI down,demean lower,9,2412.851702662182,268.09463362913135,428.5359546768203,0.7777777777777778,-732.2576750519756,-368.17588728761683,-32.400999999999996,0.003234263881493478
FR<0,OI surge>=5%,demean lower,3,951.8862604567951,317.295420152265,402.9234699216517,1.0,89.86062715404721,3203.007056777365,-28.715466666666668,0.0035177617092016
FR<0,OI up 0-5%,demean high q75,1,-5.161300000000001,-5.161300000000001,-5.161300000000001,0.0,-5.161300000000001,240.10483380001668,-0.8219000000000001,0.0077129990508632
FR<0,OI up 0-5%,demean lower,4,838.4739142810611,209.61847857026527,172.99573299120942,1.0,24.885130303030497,245.0562045117127,-27.509850000000004,0.0036389695140959747
FR>=0,OI down,demean high q75,2,635.5750654463565,317.78753272317823,317.78753272317823,0.5,-10.120220179609676,-387.57190804282135,3.0282000000000004,0.006170758128981799
FR>=0,OI down,demean lower,3,1228.5176791496656,409.5058930498885,344.06043388596873,1.0,74.36507936507908,-235.57397113654716,2.746066666666667,0.0032599395423945667
FR>=0,OI surge>=5%,demean lower,1,306.0253110253114,306.0253110253114,306.0253110253114,1.0,306.0253110253114,672.2640100242816,3.0000000000000004,0.0022905978625804
FR>=0,OI up 0-5%,demean lower,2,337.4765072326058,168.7382536163029,168.7382536163029,0.5,-78.80952380952266,130.22291587037716,3.0000000000000004,0.00297657152704825
